"","First","Second","p","weight"
"CAxANTI_ANDROGENS","CA","ANTI_ANDROGENS",0.6783,972.666666666667
"CAxGLUCOCORTICOID","CA","GLUCOCORTICOID",0.6613,1297.33333333333
"CAxGONADOTROPIN","CA","GONADOTROPIN",0.3919,1580.16666666667
"CAxBISPHOSPHONATE","CA","BISPHOSPHONATE",0.5843,1805
"CAxCORTICOSTEROID","CA","CORTICOSTEROID",0.5449,1745
"CAxIMIDAZOLE","CA","IMIDAZOLE",0.4699,1333.83333333333
"CAxACE_INHIBITORS","CA","ACE_INHIBITORS",0.1549,1934.66666666667
"CAxBETA_BLOCKING","CA","BETA_BLOCKING",0.7285,512.5
"CAxHMG_COA_REDUCT","CA","HMG_COA_REDUCT",0.7071,1465
"CAxESTROGENS","CA","ESTROGENS",0.3866,2670.66666666667
"CAxANTI_ESTROGENS","CA","ANTI_ESTROGENS",0.5758,701.5
"CAxCEREBACC","CA","CEREBACC",0.626,1942
"CAxCHF","CA","CHF",0.3686,2550
"CAxDVT","CA","DVT",0.7493,1617.83333333333
"CAxDIAB","CA","DIAB",0.6218,841.166666666667
"CAxMI","CA","MI",0.0587,2589
"CAxPULMEMB","CA","PULMEMB",0.2204,1862.16666666667
"CAxSPINCOMP","CA","SPINCOMP",0.6773,445.166666666667
"CAxCOPD","CA","COPD",0.708,1483
"CAxMHBLOOD","CA","MHBLOOD",0.7021,794.666666666667
"CAxMHCARD","CA","MHCARD",0.123,2618.33333333333
"CAxMHCONGEN","CA","MHCONGEN",0.5497,730.5
"CAxMHEAR","CA","MHEAR",0.6509,1648.66666666667
"CAxMHENDO","CA","MHENDO",0.5276,1765.33333333333
"CAxMHGASTRO","CA","MHGASTRO",0.6917,922
"CAxMHHEPATO","CA","MHHEPATO",0.7209,792.833333333333
"CAxMHIMMUNE","CA","MHIMMUNE",0.8554,1721
"CAxMHINFECT","CA","MHINFECT",0.6351,1857
"CAxMHINJURY","CA","MHINJURY",0.7365,1044.5
"CAxMHINVEST","CA","MHINVEST",0.6963,1091.5
"CAxMHMETAB","CA","MHMETAB",0.6384,660.5
"CAxMHPSYCH","CA","MHPSYCH",0.1815,1996.66666666667
"CAxMHRENAL","CA","MHRENAL",0.6649,982.666666666667
"CAxMHRESP","CA","MHRESP",0.4111,1969
"CAxMHSKIN","CA","MHSKIN",0.7162,491.166666666667
"CAxMHVASC","CA","MHVASC",0.1504,1856.33333333333
"CAxECOG_C","CA","ECOG_C",8e-04,2728.66666666667
"CAxRaceAsian","CA","RaceAsian",0.5455,1298.66666666667
"CAxRaceBlack","CA","RaceBlack",0.7297,1414.66666666667
"CAxRaceOther","CA","RaceOther",0.4965,1401.66666666667
"CAxRaceWhite","CA","RaceWhite",0.6689,962.833333333333
"CAxRegionAsia","CA","RegionAsia",1,445.166666666667
"CAxRegionEastEuro","CA","RegionEastEuro",0.0655,2158.33333333333
"CAxRegionNorthAmer","CA","RegionNorthAmer",0.4812,1558.33333333333
"CAxRegionSouthAmer","CA","RegionSouthAmer",0.643,873.5
"CAxRegionWestEuro","CA","RegionWestEuro",0.5164,775.166666666667
"CREATxTARGET","CREAT","TARGET",0.0069,3020.33333333333
"CREATxLYMPH_NODES","CREAT","LYMPH_NODES",0.1777,2015.66666666667
"CREATxKIDNEYS","CREAT","KIDNEYS",0.5863,670.833333333333
"CREATxLUNGS","CREAT","LUNGS",0.3397,1363.66666666667
"CREATxLIVER","CREAT","LIVER",2e-04,3181.66666666667
"CREATxPLEURA","CREAT","PLEURA",0.2362,1775.33333333333
"CREATxOTHER","CREAT","OTHER",0.6995,732.5
"CREATxPROSTATE","CREAT","PROSTATE",0.7025,801.833333333333
"CREATxORCHIDECTOMY","CREAT","ORCHIDECTOMY",0.6258,1281.5
"CREATxPROSTATECTOMY","CREAT","PROSTATECTOMY",0.5738,1341.16666666667
"CREATxLYMPHADENECTOMY","CREAT","LYMPHADENECTOMY",0.64,760.5
"CREATxBILATERAL_ORCHIDECTOMY","CREAT","BILATERAL_ORCHIDECTOMY",0.5359,794.5
"CREATxPRIOR_RADIOTHERAPY","CREAT","PRIOR_RADIOTHERAPY",0.6912,1229.83333333333
"CREATxANALGESICS","CREAT","ANALGESICS",3e-04,2768.33333333333
"CREATxANTI_ANDROGENS","CREAT","ANTI_ANDROGENS",0.6735,1296
"CREATxGLUCOCORTICOID","CREAT","GLUCOCORTICOID",0.7023,1378.33333333333
"CREATxGONADOTROPIN","CREAT","GONADOTROPIN",0.514,1669.83333333333
"CREATxBISPHOSPHONATE","CREAT","BISPHOSPHONATE",0.613,1836
"CREATxCORTICOSTEROID","CREAT","CORTICOSTEROID",0.5334,1398.83333333333
"CREATxIMIDAZOLE","CREAT","IMIDAZOLE",0.5433,785.166666666667
"CREATxACE_INHIBITORS","CREAT","ACE_INHIBITORS",0.1965,1885.66666666667
"CREATxBETA_BLOCKING","CREAT","BETA_BLOCKING",0.7314,558.833333333333
"CREATxHMG_COA_REDUCT","CREAT","HMG_COA_REDUCT",0.7118,1629.33333333333
"CREATxESTROGENS","CREAT","ESTROGENS",0.4158,2565.66666666667
"CREATxANTI_ESTROGENS","CREAT","ANTI_ESTROGENS",0.5697,777.166666666667
"CREATxCEREBACC","CREAT","CEREBACC",0.6349,1855.66666666667
"CREATxCHF","CREAT","CHF",0.3917,2503
"CREATxDVT","CREAT","DVT",0.7504,1685.83333333333
"CREATxDIAB","CREAT","DIAB",0.5563,1396.66666666667
"CREATxMI","CREAT","MI",0.0835,2331
"CREATxPULMEMB","CREAT","PULMEMB",0.2261,1741.5
"CREATxSPINCOMP","CREAT","SPINCOMP",0.6418,575.5
"CREATxCOPD","CREAT","COPD",0.7244,1263.33333333333
"CREATxMHBLOOD","CREAT","MHBLOOD",0.703,524.166666666667
"CREATxMHCARD","CREAT","MHCARD",0.1055,2774.66666666667
"CREATxMHCONGEN","CREAT","MHCONGEN",0.5644,1353.66666666667
"CREATxMHEAR","CREAT","MHEAR",0.6687,1578
"CREATxMHENDO","CREAT","MHENDO",0.502,1896.66666666667
"CREATxMHGASTRO","CREAT","MHGASTRO",0.6778,522.833333333333
"CREATxMHHEPATO","CREAT","MHHEPATO",0.7239,1353.66666666667
"CREATxMHIMMUNE","CREAT","MHIMMUNE",0.8543,1637.66666666667
"CREATxMHINFECT","CREAT","MHINFECT",0.5756,1892
"CREATxMHINJURY","CREAT","MHINJURY",0.7301,1115.5
"CREATxMHINVEST","CREAT","MHINVEST",0.7045,445.166666666667
"CREATxMHMETAB","CREAT","MHMETAB",0.5909,1130.5
"CREATxMHPSYCH","CREAT","MHPSYCH",0.1337,2078.33333333333
"CREATxMHRENAL","CREAT","MHRENAL",0.608,507.5
"CREATxMHRESP","CREAT","MHRESP",0.4038,1996
"CREATxMHSKIN","CREAT","MHSKIN",0.7173,546.833333333333
"CREATxMHVASC","CREAT","MHVASC",0.236,1205.5
"CREATxECOG_C","CREAT","ECOG_C",2e-04,2994.33333333333
"CREATxRaceAsian","CREAT","RaceAsian",0.5852,859.166666666667
"CREATxRaceBlack","CREAT","RaceBlack",0.7035,876.5
"CREATxRaceOther","CREAT","RaceOther",0.5051,1156.16666666667
"CREATxRaceWhite","CREAT","RaceWhite",0.5217,1584.33333333333
"CREATxRegionAsia","CREAT","RegionAsia",1,445.166666666667
"CREATxRegionEastEuro","CREAT","RegionEastEuro",0.0484,2567.33333333333
"CREATxRegionNorthAmer","CREAT","RegionNorthAmer",0.5165,1908.66666666667
"CREATxRegionSouthAmer","CREAT","RegionSouthAmer",0.6446,1273.66666666667
"CREATxRegionWestEuro","CREAT","RegionWestEuro",0.5422,804.5
"HBxTARGET","HB","TARGET",0.0918,2602
"HBxLYMPH_NODES","HB","LYMPH_NODES",0.5063,1926
"HBxKIDNEYS","HB","KIDNEYS",0.5935,523.5
"HBxLUNGS","HB","LUNGS",0.5155,947
"HBxLIVER","HB","LIVER",0.0012,3159.66666666667
"HBxPLEURA","HB","PLEURA",0.2958,2217
"HBxOTHER","HB","OTHER",0.7369,1363
"HBxPROSTATE","HB","PROSTATE",0.6493,1221.16666666667
"HBxORCHIDECTOMY","HB","ORCHIDECTOMY",0.7066,1466.33333333333
"HBxPROSTATECTOMY","HB","PROSTATECTOMY",0.4347,2066.33333333333
"HBxLYMPHADENECTOMY","HB","LYMPHADENECTOMY",0.5061,1734.66666666667
"HBxBILATERAL_ORCHIDECTOMY","HB","BILATERAL_ORCHIDECTOMY",0.6241,814.5
"HBxPRIOR_RADIOTHERAPY","HB","PRIOR_RADIOTHERAPY",0.6802,1447.83333333333
"HBxANALGESICS","HB","ANALGESICS",6e-04,2951.66666666667
"HBxANTI_ANDROGENS","HB","ANTI_ANDROGENS",0.169,1862.5
"HBxGLUCOCORTICOID","HB","GLUCOCORTICOID",0.5281,1501.33333333333
"HBxGONADOTROPIN","HB","GONADOTROPIN",0.0271,2846.33333333333
"HBxBISPHOSPHONATE","HB","BISPHOSPHONATE",0.5118,1668
"HBxCORTICOSTEROID","HB","CORTICOSTEROID",0.6351,1203.83333333333
"HBxIMIDAZOLE","HB","IMIDAZOLE",0.4362,1515.16666666667
"HBxACE_INHIBITORS","HB","ACE_INHIBITORS",0.0788,2693
"HBxBETA_BLOCKING","HB","BETA_BLOCKING",0.6881,1687.66666666667
"HBxHMG_COA_REDUCT","HB","HMG_COA_REDUCT",0.6409,1663.66666666667
"HBxESTROGENS","HB","ESTROGENS",0.3307,2354
"HBxANTI_ESTROGENS","HB","ANTI_ESTROGENS",0.564,1376
"HBxCEREBACC","HB","CEREBACC",0.6282,2127.66666666667
"HBxCHF","HB","CHF",0.4239,2579.66666666667
"HBxDVT","HB","DVT",0.7764,1585.33333333333
"HBxDIAB","HB","DIAB",0.6916,816.666666666667
"HBxMI","HB","MI",0.1051,2237.66666666667
"HBxPULMEMB","HB","PULMEMB",0.3146,1336
"HBxSPINCOMP","HB","SPINCOMP",0.7093,641.166666666667
"HBxCOPD","HB","COPD",0.7398,2142.33333333333
"HBxMHBLOOD","HB","MHBLOOD",0.7717,1475.16666666667
"HBxMHCARD","HB","MHCARD",0.2105,1883.33333333333
"HBxMHCONGEN","HB","MHCONGEN",0.5421,871.166666666667
"HBxMHEAR","HB","MHEAR",0.5823,1853.66666666667
"HBxMHENDO","HB","MHENDO",0.4158,2444.66666666667
"HBxMHGASTRO","HB","MHGASTRO",0.7025,1497.33333333333
"HBxMHHEPATO","HB","MHHEPATO",0.7229,868.333333333333
"HBxMHIMMUNE","HB","MHIMMUNE",0.8568,1819
"HBxMHINFECT","HB","MHINFECT",0.6674,1939.33333333333
"HBxMHINJURY","HB","MHINJURY",0.7111,1075.66666666667
"HBxMHINVEST","HB","MHINVEST",0.6429,1175.83333333333
"HBxMHMETAB","HB","MHMETAB",0.7384,1653.66666666667
"HBxMHPSYCH","HB","MHPSYCH",0.3439,1401
"HBxMHRENAL","HB","MHRENAL",0.714,907.166666666667
"HBxMHRESP","HB","MHRESP",0.5073,958.166666666667
"HBxMHSKIN","HB","MHSKIN",0.7219,1014
"HBxMHVASC","HB","MHVASC",0.055,2840.33333333333
"HBxECOG_C","HB","ECOG_C",0.0082,3003.66666666667
"HBxRaceAsian","HB","RaceAsian",0.5484,817.833333333333
"HBxRaceBlack","HB","RaceBlack",0.6329,1110.5
"HBxRaceOther","HB","RaceOther",0.4999,1361
"HBxRaceWhite","HB","RaceWhite",0.6632,788.5
"HBxRegionAsia","HB","RegionAsia",1,445.166666666667
"HBxRegionEastEuro","HB","RegionEastEuro",0.0814,2218
"HBxRegionNorthAmer","HB","RegionNorthAmer",0.3383,1967.66666666667
"HBxRegionSouthAmer","HB","RegionSouthAmer",0.605,988.666666666667
"HBxRegionWestEuro","HB","RegionWestEuro",0.306,1648.83333333333
"LDHxTARGET","LDH","TARGET",8e-04,3218.33333333333
"LDHxLYMPH_NODES","LDH","LYMPH_NODES",0.073,2428
"LDHxKIDNEYS","LDH","KIDNEYS",0.5827,1147.5
"LDHxLUNGS","LDH","LUNGS",0.2387,1570.66666666667
"LDHxLIVER","LDH","LIVER",1e-04,3218
"LDHxPLEURA","LDH","PLEURA",0.1921,2442.33333333333
"LDHxOTHER","LDH","OTHER",0.6499,1367.16666666667
"LDHxPROSTATE","LDH","PROSTATE",0.7104,493.166666666667
"LDHxORCHIDECTOMY","LDH","ORCHIDECTOMY",0.5526,1193.83333333333
"LDHxPROSTATECTOMY","LDH","PROSTATECTOMY",0.6669,1366.5
"LDHxLYMPHADENECTOMY","LDH","LYMPHADENECTOMY",0.6721,1094.83333333333
"LDHxBILATERAL_ORCHIDECTOMY","LDH","BILATERAL_ORCHIDECTOMY",0.4584,1217
"LDHxPRIOR_RADIOTHERAPY","LDH","PRIOR_RADIOTHERAPY",0.5162,1259.83333333333
"LDHxANALGESICS","LDH","ANALGESICS",1e-04,2416.66666666667
"LDHxANTI_ANDROGENS","LDH","ANTI_ANDROGENS",0.2645,2149
"LDHxGLUCOCORTICOID","LDH","GLUCOCORTICOID",0.76,1079.33333333333
"LDHxGONADOTROPIN","LDH","GONADOTROPIN",0.7349,445.166666666667
"LDHxBISPHOSPHONATE","LDH","BISPHOSPHONATE",0.7151,1571.33333333333
"LDHxCORTICOSTEROID","LDH","CORTICOSTEROID",0.4695,1909.33333333333
"LDHxIMIDAZOLE","LDH","IMIDAZOLE",0.5849,769.833333333333
"LDHxACE_INHIBITORS","LDH","ACE_INHIBITORS",0.2342,1929.66666666667
"LDHxBETA_BLOCKING","LDH","BETA_BLOCKING",0.7225,898
"LDHxHMG_COA_REDUCT","LDH","HMG_COA_REDUCT",0.7276,1465.33333333333
"LDHxESTROGENS","LDH","ESTROGENS",0.4839,2604
"LDHxANTI_ESTROGENS","LDH","ANTI_ESTROGENS",0.524,1613
"LDHxCEREBACC","LDH","CEREBACC",0.633,1738.33333333333
"LDHxCHF","LDH","CHF",0.3836,2553.33333333333
"LDHxDVT","LDH","DVT",0.7522,2050
"LDHxDIAB","LDH","DIAB",0.4977,1731
"LDHxMI","LDH","MI",0.0576,2638.33333333333
"LDHxPULMEMB","LDH","PULMEMB",0.206,1674.16666666667
"LDHxSPINCOMP","LDH","SPINCOMP",0.5846,1253
"LDHxCOPD","LDH","COPD",0.683,1605.66666666667
"LDHxMHBLOOD","LDH","MHBLOOD",0.6311,656.666666666667
"LDHxMHCARD","LDH","MHCARD",0.0741,2945
"LDHxMHCONGEN","LDH","MHCONGEN",0.5637,1035.66666666667
"LDHxMHEAR","LDH","MHEAR",0.6699,1593
"LDHxMHENDO","LDH","MHENDO",0.5082,1939.33333333333
"LDHxMHGASTRO","LDH","MHGASTRO",0.6265,849.5
"LDHxMHHEPATO","LDH","MHHEPATO",0.7214,874.833333333333
"LDHxMHIMMUNE","LDH","MHIMMUNE",0.8589,1868
"LDHxMHINFECT","LDH","MHINFECT",0.5596,1811.33333333333
"LDHxMHINJURY","LDH","MHINJURY",0.725,845.166666666667
"LDHxMHINVEST","LDH","MHINVEST",0.7194,1247.66666666667
"LDHxMHMETAB","LDH","MHMETAB",0.4907,1299.83333333333
"LDHxMHPSYCH","LDH","MHPSYCH",0.1007,2119.66666666667
"LDHxMHRENAL","LDH","MHRENAL",0.5817,577.5
"LDHxMHRESP","LDH","MHRESP",0.3694,1658
"LDHxMHSKIN","LDH","MHSKIN",0.729,522.5
"LDHxMHVASC","LDH","MHVASC",0.3743,1514
"LDHxECOG_C","LDH","ECOG_C",0,2417.66666666667
"LDHxRaceAsian","LDH","RaceAsian",0.5884,1394
"LDHxRaceBlack","LDH","RaceBlack",0.7175,1135.66666666667
"LDHxRaceOther","LDH","RaceOther",0.4929,1454.66666666667
"LDHxRaceWhite","LDH","RaceWhite",0.0644,2221
"LDHxRegionAsia","LDH","RegionAsia",1,445.166666666667
"LDHxRegionEastEuro","LDH","RegionEastEuro",0.0245,2286.66666666667
"LDHxRegionNorthAmer","LDH","RegionNorthAmer",0.5434,1681.33333333333
"LDHxRegionSouthAmer","LDH","RegionSouthAmer",0.6465,1297.66666666667
"LDHxRegionWestEuro","LDH","RegionWestEuro",0.703,1207.16666666667
"NEUxTARGET","NEU","TARGET",0.0019,3191.33333333333
"NEUxLYMPH_NODES","NEU","LYMPH_NODES",0.1174,2705.33333333333
"NEUxKIDNEYS","NEU","KIDNEYS",0.5287,1060
"NEUxLUNGS","NEU","LUNGS",0.3333,2006.66666666667
"NEUxLIVER","NEU","LIVER",0,3250.33333333333
"NEUxPLEURA","NEU","PLEURA",0.1518,2852.33333333333
"NEUxOTHER","NEU","OTHER",0.6145,1670.16666666667
"NEUxPROSTATE","NEU","PROSTATE",0.7125,1726
"NEUxORCHIDECTOMY","NEU","ORCHIDECTOMY",0.5234,2055
"NEUxPROSTATECTOMY","NEU","PROSTATECTOMY",0.6177,2140.33333333333
"NEUxLYMPHADENECTOMY","NEU","LYMPHADENECTOMY",0.6147,1988.66666666667
"NEUxBILATERAL_ORCHIDECTOMY","NEU","BILATERAL_ORCHIDECTOMY",0.4188,1703
"NEUxPRIOR_RADIOTHERAPY","NEU","PRIOR_RADIOTHERAPY",0.6148,1424
"NEUxANALGESICS","NEU","ANALGESICS",9e-04,3174.66666666667
"NEUxANTI_ANDROGENS","NEU","ANTI_ANDROGENS",0.6216,1350.16666666667
"NEUxGLUCOCORTICOID","NEU","GLUCOCORTICOID",0.6704,1778
"NEUxGONADOTROPIN","NEU","GONADOTROPIN",0.7373,1372.66666666667
"NEUxBISPHOSPHONATE","NEU","BISPHOSPHONATE",0.4989,3060.66666666667
"NEUxCORTICOSTEROID","NEU","CORTICOSTEROID",0.5806,1604.33333333333
"NEUxIMIDAZOLE","NEU","IMIDAZOLE",0.4934,1877.66666666667
"NEUxACE_INHIBITORS","NEU","ACE_INHIBITORS",0.2855,2490.33333333333
"NEUxBETA_BLOCKING","NEU","BETA_BLOCKING",0.7387,1497.33333333333
"NEUxHMG_COA_REDUCT","NEU","HMG_COA_REDUCT",0.735,1729.66666666667
"NEUxESTROGENS","NEU","ESTROGENS",0.62,976.833333333333
"NEUxANTI_ESTROGENS","NEU","ANTI_ESTROGENS",0.5247,1734
"NEUxCEREBACC","NEU","CEREBACC",0.6801,973.5
"NEUxCHF","NEU","CHF",0.3469,2481.33333333333
"NEUxDVT","NEU","DVT",0.6179,2549.33333333333
"NEUxDIAB","NEU","DIAB",0.6445,775.833333333333
"NEUxMI","NEU","MI",0.1638,1225.16666666667
"NEUxPULMEMB","NEU","PULMEMB",0.2516,2276.66666666667
"NEUxSPINCOMP","NEU","SPINCOMP",0.5041,1885
"NEUxCOPD","NEU","COPD",0.7305,948.166666666667
"NEUxMHBLOOD","NEU","MHBLOOD",0.7244,1620.33333333333
"NEUxMHCARD","NEU","MHCARD",0.1597,2056.66666666667
"NEUxMHCONGEN","NEU","MHCONGEN",0.6323,924.5
"NEUxMHEAR","NEU","MHEAR",0.7,1102.83333333333
"NEUxMHENDO","NEU","MHENDO",0.7083,813.5
"NEUxMHGASTRO","NEU","MHGASTRO",0.5479,2093.66666666667
"NEUxMHHEPATO","NEU","MHHEPATO",0.7641,1639.33333333333
"NEUxMHIMMUNE","NEU","MHIMMUNE",0.8704,1115.33333333333
"NEUxMHINFECT","NEU","MHINFECT",0.6131,1604.66666666667
"NEUxMHINJURY","NEU","MHINJURY",0.7352,2392
"NEUxMHINVEST","NEU","MHINVEST",0.6892,2167.66666666667
"NEUxMHMETAB","NEU","MHMETAB",0.5517,838
"NEUxMHPSYCH","NEU","MHPSYCH",0.1895,2069.66666666667
"NEUxMHRENAL","NEU","MHRENAL",0.6797,1841.33333333333
"NEUxMHRESP","NEU","MHRESP",0.5905,853.833333333333
"NEUxMHSKIN","NEU","MHSKIN",0.7146,1581.66666666667
"NEUxMHVASC","NEU","MHVASC",0.4535,1655
"NEUxECOG_C","NEU","ECOG_C",3e-04,2385.33333333333
"NEUxRaceAsian","NEU","RaceAsian",0.5377,1623
"NEUxRaceBlack","NEU","RaceBlack",0.6539,627.166666666667
"NEUxRaceOther","NEU","RaceOther",0.8345,1181
"NEUxRaceWhite","NEU","RaceWhite",0.3368,1143.16666666667
"NEUxRegionAsia","NEU","RegionAsia",1,445.166666666667
"NEUxRegionEastEuro","NEU","RegionEastEuro",0.108,2659.33333333333
"NEUxRegionNorthAmer","NEU","RegionNorthAmer",0.4174,2695
"NEUxRegionSouthAmer","NEU","RegionSouthAmer",0.5384,2160.66666666667
"NEUxRegionWestEuro","NEU","RegionWestEuro",0.7242,1341.66666666667
"PLTxTARGET","PLT","TARGET",0.0046,2834.66666666667
"PLTxLYMPH_NODES","PLT","LYMPH_NODES",0.2658,1642
"PLTxKIDNEYS","PLT","KIDNEYS",0.5763,445.166666666667
"PLTxLUNGS","PLT","LUNGS",0.446,2009
"PLTxLIVER","PLT","LIVER",3e-04,3164
"PLTxPLEURA","PLT","PLEURA",0.4742,1342.66666666667
"PLTxOTHER","PLT","OTHER",0.7489,669.5
"PLTxPROSTATE","PLT","PROSTATE",0.733,955.833333333333
"PLTxORCHIDECTOMY","PLT","ORCHIDECTOMY",0.7401,2081
"PLTxPROSTATECTOMY","PLT","PROSTATECTOMY",0.503,2013.16666666667
"PLTxLYMPHADENECTOMY","PLT","LYMPHADENECTOMY",0.5259,2369.66666666667
"PLTxBILATERAL_ORCHIDECTOMY","PLT","BILATERAL_ORCHIDECTOMY",0.6469,1371.66666666667
"PLTxPRIOR_RADIOTHERAPY","PLT","PRIOR_RADIOTHERAPY",0.6111,2577.33333333333
"PLTxANALGESICS","PLT","ANALGESICS",9e-04,2792.33333333333
"PLTxANTI_ANDROGENS","PLT","ANTI_ANDROGENS",0.4562,2210
"PLTxGLUCOCORTICOID","PLT","GLUCOCORTICOID",0.6321,1620.33333333333
"PLTxGONADOTROPIN","PLT","GONADOTROPIN",0.7517,1314.5
"PLTxBISPHOSPHONATE","PLT","BISPHOSPHONATE",0.7376,2187.66666666667
"PLTxCORTICOSTEROID","PLT","CORTICOSTEROID",0.5915,1029.5
"PLTxIMIDAZOLE","PLT","IMIDAZOLE",0.4481,2478.33333333333
"PLTxACE_INHIBITORS","PLT","ACE_INHIBITORS",0.2854,1553.5
"PLTxBETA_BLOCKING","PLT","BETA_BLOCKING",0.7778,716.5
"PLTxHMG_COA_REDUCT","PLT","HMG_COA_REDUCT",0.7474,979
"PLTxESTROGENS","PLT","ESTROGENS",0.4746,2317.66666666667
"PLTxANTI_ESTROGENS","PLT","ANTI_ESTROGENS",0.6403,956.333333333333
"PLTxCEREBACC","PLT","CEREBACC",0.661,1471.66666666667
"PLTxCHF","PLT","CHF",0.4656,2582
"PLTxDVT","PLT","DVT",0.6462,1957.16666666667
"PLTxDIAB","PLT","DIAB",0.6641,824.166666666667
"PLTxMI","PLT","MI",0.0964,2539
"PLTxPULMEMB","PLT","PULMEMB",0.2256,1392
"PLTxSPINCOMP","PLT","SPINCOMP",0.5358,1755.33333333333
"PLTxCOPD","PLT","COPD",0.6741,2405.33333333333
"PLTxMHBLOOD","PLT","MHBLOOD",0.7107,838.166666666667
"PLTxMHCARD","PLT","MHCARD",0.2221,2413
"PLTxMHCONGEN","PLT","MHCONGEN",0.5297,2283
"PLTxMHEAR","PLT","MHEAR",0.7669,1256.83333333333
"PLTxMHENDO","PLT","MHENDO",0.7304,1353.66666666667
"PLTxMHGASTRO","PLT","MHGASTRO",0.6728,1013
"PLTxMHHEPATO","PLT","MHHEPATO",0.7413,1969.33333333333
"PLTxMHIMMUNE","PLT","MHIMMUNE",0.8235,2256.66666666667
"PLTxMHINFECT","PLT","MHINFECT",0.6155,1962
"PLTxMHINJURY","PLT","MHINJURY",0.7274,1600.66666666667
"PLTxMHINVEST","PLT","MHINVEST",0.7019,2061
"PLTxMHMETAB","PLT","MHMETAB",0.5311,1581.33333333333
"PLTxMHPSYCH","PLT","MHPSYCH",0.3401,2419.33333333333
"PLTxMHRENAL","PLT","MHRENAL",0.6501,889.833333333333
"PLTxMHRESP","PLT","MHRESP",0.3247,2905.66666666667
"PLTxMHSKIN","PLT","MHSKIN",0.7204,719
"PLTxMHVASC","PLT","MHVASC",0.6014,1838.33333333333
"PLTxECOG_C","PLT","ECOG_C",0.0021,2760
"PLTxRaceAsian","PLT","RaceAsian",0.614,1614.33333333333
"PLTxRaceBlack","PLT","RaceBlack",0.7068,1100.83333333333
"PLTxRaceOther","PLT","RaceOther",0.5568,1232.16666666667
"PLTxRaceWhite","PLT","RaceWhite",0.5145,2255
"PLTxRegionAsia","PLT","RegionAsia",1,445.166666666667
"PLTxRegionEastEuro","PLT","RegionEastEuro",0.089,2848.33333333333
"PLTxRegionNorthAmer","PLT","RegionNorthAmer",0.4856,1958.66666666667
"PLTxRegionSouthAmer","PLT","RegionSouthAmer",0.6298,1465
"PLTxRegionWestEuro","PLT","RegionWestEuro",0.6936,1538.33333333333
"PSAxTARGET","PSA","TARGET",3e-04,3217
"PSAxLYMPH_NODES","PSA","LYMPH_NODES",0.0574,2175.66666666667
"PSAxKIDNEYS","PSA","KIDNEYS",0.5922,548.166666666667
"PSAxLUNGS","PSA","LUNGS",0.1189,2723.66666666667
"PSAxLIVER","PSA","LIVER",2e-04,2691.33333333333
"PSAxPLEURA","PSA","PLEURA",0.1534,2731.66666666667
"PSAxOTHER","PSA","OTHER",0.6503,1438.16666666667
"PSAxPROSTATE","PSA","PROSTATE",0.481,2535.33333333333
"PSAxORCHIDECTOMY","PSA","ORCHIDECTOMY",0.0931,2292
"PSAxPROSTATECTOMY","PSA","PROSTATECTOMY",0.7192,1773.66666666667
"PSAxLYMPHADENECTOMY","PSA","LYMPHADENECTOMY",0.6832,1724.33333333333
"PSAxBILATERAL_ORCHIDECTOMY","PSA","BILATERAL_ORCHIDECTOMY",0.0469,2651
"PSAxPRIOR_RADIOTHERAPY","PSA","PRIOR_RADIOTHERAPY",0.312,1936
"PSAxANALGESICS","PSA","ANALGESICS",3e-04,2955
"PSAxANTI_ANDROGENS","PSA","ANTI_ANDROGENS",0.0103,1861.66666666667
"PSAxGLUCOCORTICOID","PSA","GLUCOCORTICOID",0.7582,1861.66666666667
"PSAxGONADOTROPIN","PSA","GONADOTROPIN",0.2476,1836
"PSAxBISPHOSPHONATE","PSA","BISPHOSPHONATE",0.6194,2330.66666666667
"PSAxCORTICOSTEROID","PSA","CORTICOSTEROID",0.3546,1140.83333333333
"PSAxIMIDAZOLE","PSA","IMIDAZOLE",0.6258,1057.16666666667
"PSAxACE_INHIBITORS","PSA","ACE_INHIBITORS",0.3411,2461.66666666667
"PSAxBETA_BLOCKING","PSA","BETA_BLOCKING",0.7236,1383.33333333333
"PSAxHMG_COA_REDUCT","PSA","HMG_COA_REDUCT",0.7342,1362.5
"PSAxESTROGENS","PSA","ESTROGENS",0.7305,1398.16666666667
"PSAxANTI_ESTROGENS","PSA","ANTI_ESTROGENS",0.483,1841.66666666667
"PSAxCEREBACC","PSA","CEREBACC",0.5674,2181.33333333333
"PSAxCHF","PSA","CHF",0.3826,2380
"PSAxDVT","PSA","DVT",0.7545,2471.66666666667
"PSAxDIAB","PSA","DIAB",0.2006,2588.66666666667
"PSAxMI","PSA","MI",0.2329,2265.66666666667
"PSAxPULMEMB","PSA","PULMEMB",0.1424,2150
"PSAxSPINCOMP","PSA","SPINCOMP",0.5428,1754
"PSAxCOPD","PSA","COPD",0.6916,1190
"PSAxMHBLOOD","PSA","MHBLOOD",0.5746,1117.33333333333
"PSAxMHCARD","PSA","MHCARD",0.0297,2295
"PSAxMHCONGEN","PSA","MHCONGEN",0.6051,1114
"PSAxMHEAR","PSA","MHEAR",0.7227,1150.5
"PSAxMHENDO","PSA","MHENDO",0.4934,2472.33333333333
"PSAxMHGASTRO","PSA","MHGASTRO",0.448,1325.66666666667
"PSAxMHHEPATO","PSA","MHHEPATO",0.7284,2242
